card_name,card_race,card_type,card_class,description
Golden Legendary,INVALID,MINION,NEUTRAL,"Golden Legendary INVALID NEUTRAL MINION "
Flame Lance,INVALID,SPELL,MAGE,Flame Lance INVALID MAGE SPELL Deal $8 damage to a minion. @spelldmg
Effigy,INVALID,SPELL,MAGE,"Effigy INVALID MAGE SPELL Secret: When a friendly minion dies, summon a random minion with the same Cost."
Fallen Hero,INVALID,MINION,MAGE,Fallen Hero INVALID MAGE MINION Your Hero Power deals 1 extra damage.
Arcane Blast,INVALID,SPELL,MAGE,Arcane Blast INVALID MAGE SPELL Deal $2 damage to a minion. This spell gets double bonus from Spell Damage. @spelldmg
Polymorph: Boar,INVALID,SPELL,MAGE,Polymorph: Boar INVALID MAGE SPELL Transform a minion into a 4/2 Boar with Charge.
Boar,BEAST,MINION,NEUTRAL,Boar BEAST NEUTRAL MINION Charge
Dalaran Aspirant,INVALID,MINION,MAGE,Dalaran Aspirant INVALID MAGE MINION Inspire: Gain Spell Damage +1.
Power of Dalaran,INVALID,ENCHANTMENT,MAGE,Power of Dalaran INVALID MAGE ENCHANTMENT Increased Spell Damage.
Spellslinger,INVALID,MINION,MAGE,Spellslinger INVALID MAGE MINION Battlecry: Add a random spell to each player's hand.
Coldarra Drake,DRAGON,MINION,MAGE,Coldarra Drake DRAGON MAGE MINION You can use your Hero Power any number of times.
Rhonin,INVALID,MINION,MAGE,Rhonin INVALID MAGE MINION Deathrattle: Add 3 copies of Arcane Missiles to your hand.
Ram Wrangler,INVALID,MINION,HUNTER,"Ram Wrangler INVALID HUNTER MINION Battlecry: If you have a Beast, summon arandom Beast."
Holy Champion,INVALID,MINION,PRIEST,"Holy Champion INVALID PRIEST MINION Whenever a character is healed, gain +2 Attack."
Light's Blessing,INVALID,ENCHANTMENT,NEUTRAL,Light's Blessing INVALID NEUTRAL ENCHANTMENT Increased Attack.
Spawn of Shadows,INVALID,MINION,PRIEST,Spawn of Shadows INVALID PRIEST MINION Inspire: Deal 4 damage to each hero.
Power Word: Glory,INVALID,SPELL,PRIEST,"Power Word: Glory INVALID PRIEST SPELL Choose a minion. Whenever it attacks, restore 4 Health toyour hero."
Power Word: Glory,INVALID,ENCHANTMENT,NEUTRAL,"Power Word: Glory INVALID NEUTRAL ENCHANTMENT When this attacks, restore #4 Health to the hero of the player who buffed it."
Shadowfiend,INVALID,MINION,PRIEST,"Shadowfiend INVALID PRIEST MINION Whenever you draw a card, reduce its Cost by (1)."
Shadowfiended,INVALID,ENCHANTMENT,PRIEST,Shadowfiended INVALID PRIEST ENCHANTMENT Costs (1) less.
Convert,INVALID,SPELL,PRIEST,Convert INVALID PRIEST SPELL Put a copy of an enemy minion into your hand.
Confuse,INVALID,SPELL,PRIEST,Confuse INVALID PRIEST SPELL Swap the Attack and Health of all minions.
Confused,INVALID,ENCHANTMENT,PRIEST,Confused INVALID PRIEST ENCHANTMENT Swapped Attack and Health.
Twilight Guardian,DRAGON,MINION,NEUTRAL,"Twilight Guardian DRAGON NEUTRAL MINION Battlecry: If you're holding a Dragon, gain +1 Attack and Taunt."
Twilight's Embrace,INVALID,ENCHANTMENT,NEUTRAL,Twilight's Embrace INVALID NEUTRAL ENCHANTMENT +1 Attack and Taunt.
Confessor Paletress,INVALID,MINION,PRIEST,Confessor Paletress INVALID PRIEST MINION Inspire: Summon a random Legendary minion.
Dreadsteed,DEMON,MINION,WARLOCK,"Dreadsteed DEMON WARLOCK MINION Deathrattle: At the end of the turn, summon a Dreadsteed."
Dreadsteed,INVALID,ENCHANTMENT,NEUTRAL,Dreadsteed INVALID NEUTRAL ENCHANTMENT Summon a Dreadsteed at the end of the turn.
Fearsome Doomguard,DEMON,MINION,WARLOCK,"Fearsome Doomguard DEMON WARLOCK MINION "
Tiny Knight of Evil,DEMON,MINION,WARLOCK,"Tiny Knight of Evil DEMON WARLOCK MINION Whenever you discard a card, gain +1/+1."
Felrage,INVALID,ENCHANTMENT,WARLOCK,Felrage INVALID WARLOCK ENCHANTMENT Increased stats.
Fist of Jaraxxus,INVALID,SPELL,WARLOCK,"Fist of Jaraxxus INVALID WARLOCK SPELL When you play or discard this, deal $4 damage to a random enemy. @spelldmg"
Void Crusher,DEMON,MINION,WARLOCK,Void Crusher DEMON WARLOCK MINION Inspire: Destroy a random minion for each player.
Demonfuse,INVALID,SPELL,WARLOCK,Demonfuse INVALID WARLOCK SPELL Give a Demon +3/+3. Give your opponent a Mana Crystal.
Dark Fusion,INVALID,ENCHANTMENT,NEUTRAL,Dark Fusion INVALID NEUTRAL ENCHANTMENT +3/+3.
Dark Bargain,INVALID,SPELL,WARLOCK,Dark Bargain INVALID WARLOCK SPELL Destroy 2 random enemy minions. Discard 2 random cards.
Wrathguard,DEMON,MINION,WARLOCK,"Wrathguard DEMON WARLOCK MINION Whenever this minion takes damage, also deal that amount to your hero."
Wilfred Fizzlebang,INVALID,MINION,WARLOCK,Wilfred Fizzlebang INVALID WARLOCK MINION Cards you draw from your Hero Power cost (0).
Master Summoner,INVALID,ENCHANTMENT,WARLOCK,Master Summoner INVALID WARLOCK ENCHANTMENT Costs (0).
Shado-Pan Rider,INVALID,MINION,ROGUE,Shado-Pan Rider INVALID ROGUE MINION Combo: Gain +3 Attack.
Chi Lance,INVALID,ENCHANTMENT,NEUTRAL,Chi Lance INVALID NEUTRAL ENCHANTMENT +3 Attack.
Buccaneer,PIRATE,MINION,ROGUE,"Buccaneer PIRATE ROGUE MINION Whenever you equip a weapon, give it +1 Attack."
Extra Stabby,INVALID,ENCHANTMENT,NEUTRAL,Extra Stabby INVALID NEUTRAL ENCHANTMENT +1 Attack
Undercity Valiant,INVALID,MINION,ROGUE,Undercity Valiant INVALID ROGUE MINION Combo: Deal 1 damage.
Cutpurse,INVALID,MINION,ROGUE,"Cutpurse INVALID ROGUE MINION Whenever this minion attacks a hero, add the Coin to your hand."
Shady Dealer,INVALID,MINION,ROGUE,"Shady Dealer INVALID ROGUE MINION Battlecry: If you have a Pirate, gain +1/+1."
Shady Deals,INVALID,ENCHANTMENT,ROGUE,Shady Deals INVALID ROGUE ENCHANTMENT +1/+1.
Shady Deals Copy,INVALID,ENCHANTMENT,ROGUE,Shady Deals Copy INVALID ROGUE ENCHANTMENT +1/+1.
Burgle,INVALID,SPELL,ROGUE,Burgle INVALID ROGUE SPELL Add 2 random cards to your hand (from your opponent's class).
Poisoned Blade,INVALID,WEAPON,ROGUE,Poisoned Blade INVALID ROGUE WEAPON Your Hero Power gives this weapon +1 Attack instead of replacing it.
Laced,INVALID,ENCHANTMENT,ROGUE,Laced INVALID ROGUE ENCHANTMENT Increased Attack.
Beneath the Grounds,INVALID,SPELL,ROGUE,"Beneath the Grounds INVALID ROGUE SPELL Shuffle 3 Ambushes into your opponent's deck. When drawn, you summon a 4/4 Nerubian."
Nerubian Ambush!,INVALID,SPELL,ROGUE,Nerubian Ambush! INVALID ROGUE SPELL Casts When DrawnSummon a 4/4 Nerubian for your opponent.
Anub'arak,INVALID,MINION,ROGUE,Anub'arak INVALID ROGUE MINION Deathrattle: Return this to your hand and summon a 4/4 Nerubian.
Nerubian,INVALID,MINION,ROGUE,"Nerubian INVALID ROGUE MINION "
Living Roots,INVALID,SPELL,DRUID,Living Roots INVALID DRUID SPELL Choose One - Deal $2 damage; or Summon two 1/1 Saplings. @spelldmg
Grasping Roots,INVALID,SPELL,DRUID,Grasping Roots INVALID DRUID SPELL Deal $2 damage. @spelldmg
"One, Two, Trees!",INVALID,SPELL,DRUID,"One, Two, Trees! INVALID DRUID SPELL Summon two 1/1 Saplings."
Sapling,INVALID,MINION,DRUID,"Sapling INVALID DRUID MINION "
Darnassus Aspirant,INVALID,MINION,DRUID,Darnassus Aspirant INVALID DRUID MINION Battlecry: Gain an empty Mana Crystal.Deathrattle: Lose a Mana Crystal.
Savage Combatant,BEAST,MINION,DRUID,Savage Combatant BEAST DRUID MINION Inspire: Give your hero+2 Attack this turn.
Savage,INVALID,ENCHANTMENT,DRUID,Savage INVALID DRUID ENCHANTMENT +2 Attack this turn.
Wildwalker,INVALID,MINION,DRUID,Wildwalker INVALID DRUID MINION Battlecry: Give a friendly Beast +3 Health.
Kindred Spirit,INVALID,ENCHANTMENT,DRUID,Kindred Spirit INVALID DRUID ENCHANTMENT +3 Health.
Knight of the Wild,INVALID,MINION,DRUID,"Knight of the Wild INVALID DRUID MINION Whenever you summon a Beast, reduce the Cost of this card by (1)."
Call of the Wild,INVALID,ENCHANTMENT,NEUTRAL,Call of the Wild INVALID NEUTRAL ENCHANTMENT Cost reduced.
Druid of the Saber,INVALID,MINION,DRUID,Druid of the Saber INVALID DRUID MINION Choose One - Transforminto a 2/1 with Charge;or a 3/2 with Stealth.
Lion Form,BEAST,MINION,DRUID,Lion Form BEAST DRUID MINION Charge
Panther Form,BEAST,MINION,DRUID,Panther Form BEAST DRUID MINION Stealth
Druid of the Saber,BEAST,MINION,DRUID,Druid of the Saber BEAST DRUID MINION Charge
Druid of the Saber,BEAST,MINION,DRUID,Druid of the Saber BEAST DRUID MINION Stealth
Astral Communion,INVALID,SPELL,DRUID,Astral Communion INVALID DRUID SPELL Gain 10 Mana Crystals. Discard your hand.
Mulch,INVALID,SPELL,DRUID,Mulch INVALID DRUID SPELL Destroy a minion.Add a random minion to your opponent's hand.
Aviana,INVALID,MINION,DRUID,Aviana INVALID DRUID MINION Your minions cost (1).
Empowering Mist,INVALID,ENCHANTMENT,NEUTRAL,Empowering Mist INVALID NEUTRAL ENCHANTMENT +1/+1.
